invoice_id,customer_id,subscription_id,amount,status,invoice_date
INV4000,C1001,S2001,99,paid,2026-09-19
INV4001,C1002,S2002,49,paid,2026-10-02
INV4002,C1002,S2002,49,paid,2026-11-06
INV4003,C1003,S2003,49,paid,2026-09-12
INV4004,C1004,S2004,49,paid,2026-09-30
INV4005,C1004,S2004,49,paid,2026-10-04
INV4006,C1005,S2005,499,unpaid,2026-09-08
INV4007,C1006,S2006,249,paid,2026-10-07
INV4008,C1007,S2007,249,paid,2026-09-19
INV4009,C1007,S2007,249,paid,2026-10-19
INV4010,C1008,S2008,249,paid,2026-09-21
INV4011,C1008,S2008,249,paid,2026-10-24
INV4012,C1008,S2008,249,paid,2026-11-23
INV4013,C1009,S2009,49,paid,2026-10-02
INV4014,C1010,S2010,249,paid,2026-09-07
INV4015,C1010,S2010,249,paid,2026-10-11
INV4016,C1011,S2011,49,paid,2026-10-12
INV4017,C1012,S2012,249,paid,2026-10-08
INV4018,C1012,S2012,249,paid,2026-11-12
INV4019,C1013,S2013,99,paid,2026-09-24
INV4020,C1013,S2013,99,paid,2026-09-25
INV4021,C1014,S2014,249,paid,2026-10-06
INV4022,C1014,S2014,249,paid,2026-10-08
INV4023,C1015,S2015,499,unpaid,2026-09-28
INV4024,C1015,S2015,499,paid,2026-10-29
INV4025,C1016,S2016,99,paid,2026-10-06
INV4026,C1017,S2017,249,paid,2026-09-08
INV4027,C1017,S2017,249,paid,2026-09-10
INV4028,C1018,S2018,99,unpaid,2026-09-21
INV4029,C1019,S2019,249,paid,2026-10-04
INV4030,C1019,S2019,249,paid,2026-11-05
INV4031,C1020,S2020,49,unpaid,2026-10-07
INV4032,C1020,S2020,49,paid,2026-11-06
INV4033,C1021,S2021,499,unpaid,2026-10-13
INV4034,C1021,S2021,499,paid,2026-11-13
INV4035,C1021,S2021,499,unpaid,2026-12-13
INV4036,C1022,S2022,249,paid,2026-09-13
INV4037,C1022,S2022,249,paid,2026-09-13
INV4038,C1023,S2023,499,paid,2026-10-01
INV4039,C1023,S2023,499,unpaid,2026-11-04
INV4040,C1024,S2024,99,paid,2026-09-23
INV4041,C1024,S2024,99,paid,2026-10-25
INV4042,C1025,S2025,499,paid,2026-09-13
INV4043,C1025,S2025,499,paid,2026-10-16
INV4044,C1026,S2026,99,unpaid,2026-10-10
INV4045,C1026,S2026,99,paid,2026-11-12
INV4046,C1027,S2027,49,paid,2026-10-14
INV4047,C1027,S2027,49,paid,2026-11-13
INV4048,C1028,S2028,99,paid,2026-10-07
INV4049,C1029,S2029,499,paid,2026-09-15
INV4050,C1029,S2029,499,paid,2026-09-20
INV4051,C1030,S2030,249,paid,2026-10-11
INV4052,C1031,S2031,249,paid,2026-09-29
INV4053,C1031,S2031,249,paid,2026-09-29
INV4054,C1032,S2032,499,paid,2026-09-26
INV4055,C1033,S2033,249,paid,2026-09-16
INV4056,C1033,S2033,249,paid,2026-10-19
INV4057,C1034,S2034,49,unpaid,2026-10-01
INV4058,C1034,S2034,49,paid,2026-10-02
INV4059,C1035,S2035,99,paid,2026-09-03
INV4060,C1036,S2036,49,paid,2026-09-24
INV4061,C1036,S2036,49,unpaid,2026-10-29
INV4062,C1036,S2036,49,paid,2026-11-28
INV4063,C1037,S2037,49,paid,2026-08-01
INV4064,C1037,S2037,49,unpaid,2026-09-04
INV4065,C1038,S2038,99,paid,2026-09-23
INV4066,C1039,S2039,49,paid,2026-10-10
INV4067,C1040,S2040,99,paid,2026-09-20
INV4068,C1041,S2041,99,paid,2026-09-24
INV4069,C1042,S2042,499,unpaid,2026-10-10
INV4070,C1042,S2042,499,paid,2026-11-13
INV4071,C1042,S2042,499,paid,2026-12-13
INV4072,C1043,S2043,249,paid,2026-09-22
INV4073,C1043,S2043,249,paid,2026-10-23
INV4074,C1044,S2044,499,paid,2026-09-20
INV4075,C1045,S2045,49,unpaid,2026-10-01
INV4076,C1045,S2045,49,paid,2026-11-02
INV4077,C1046,S2046,99,unpaid,2026-10-09
INV4078,C1047,S2047,49,paid,2026-09-16
INV4079,C1047,S2047,49,paid,2026-10-16
INV4080,C1047,S2047,49,paid,2026-11-15
INV4081,C1048,S2048,49,unpaid,2026-05-10
INV4082,C1049,S2049,99,paid,2026-10-10
INV4083,C1049,S2049,99,paid,2026-11-09
INV4084,C1050,S2050,99,paid,2026-10-05
INV4085,C1050,S2050,99,paid,2026-11-08
INV4086,C1051,S2051,99,paid,2026-09-28
INV4087,C1051,S2051,99,unpaid,2026-10-01
INV4088,C1052,S2052,49,paid,2026-09-14
INV4089,C1052,S2052,49,unpaid,2026-10-16
INV4090,C1053,S2053,499,paid,2026-10-07
INV4091,C1053,S2053,499,paid,2026-11-10
INV4092,C1054,S2054,49,paid,2026-09-27
INV4093,C1054,S2054,49,paid,2026-10-30
INV4094,C1055,S2055,49,paid,2026-09-14
INV4095,C1056,S2056,499,paid,2026-09-09
INV4096,C1056,S2056,499,paid,2026-10-14
INV4097,C1057,S2057,249,paid,2026-10-08
INV4098,C1057,S2057,249,unpaid,2026-11-12
INV4099,C1058,S2058,499,paid,2026-09-26
INV4100,C1059,S2059,49,paid,2026-09-25
INV4101,C1060,S2060,499,paid,2026-10-05
INV4102,C1060,S2060,499,paid,2026-11-09
INV4103,C1061,S2061,499,paid,2026-09-08
INV4104,C1061,S2061,499,paid,2026-10-13
INV4105,C1061,S2061,499,paid,2026-11-12
INV4106,C1062,S2062,49,paid,2026-09-15
INV4107,C1062,S2062,49,paid,2026-10-17
INV4108,C1062,S2062,49,unpaid,2026-11-16
INV4109,C1063,S2063,249,paid,2026-09-11
INV4110,C1063,S2063,249,paid,2026-09-13
INV4111,C1064,S2064,99,unpaid,2026-10-05
INV4112,C1065,S2065,49,paid,2026-10-12
INV4113,C1065,S2065,49,unpaid,2026-11-11
INV4114,C1066,S2066,249,paid,2026-09-16
INV4115,C1067,S2067,499,paid,2026-09-18
INV4116,C1067,S2067,499,paid,2026-10-22
INV4117,C1068,S2068,49,unpaid,2026-09-22
INV4118,C1068,S2068,49,paid,2026-09-27
INV4119,C1069,S2069,49,paid,2026-10-04
INV4120,C1069,S2069,49,paid,2026-11-07
INV4121,C1069,S2069,49,paid,2026-12-07
INV4122,C1070,S2070,499,paid,2026-09-19
INV4123,C1070,S2070,499,paid,2026-10-19
INV4124,C1071,S2071,49,paid,2026-10-03
INV4125,C1071,S2071,49,paid,2026-11-06
INV4126,C1072,S2072,249,paid,2026-09-08
INV4127,C1073,S2073,99,paid,2026-10-01
INV4128,C1074,S2074,249,paid,2026-09-23
INV4129,C1074,S2074,249,paid,2026-10-25
INV4130,C1075,S2075,49,unpaid,2026-08-15
INV4131,C1076,S2076,49,paid,2026-09-12
INV4132,C1077,S2077,249,unpaid,2026-09-27
INV4133,C1077,S2077,249,paid,2026-10-27
INV4134,C1078,S2078,99,paid,2026-09-16
INV4135,C1078,S2078,99,unpaid,2026-10-16
INV4136,C1079,S2079,499,paid,2026-05-23
INV4137,C1079,S2079,499,unpaid,2026-05-27
INV4138,C1080,S2080,49,paid,2026-09-03
INV4139,C1080,S2080,49,paid,2026-10-07
INV4140,C1081,S2081,99,paid,2026-10-08
INV4141,C1081,S2081,99,paid,2026-11-08
INV4142,C1082,S2082,99,paid,2026-10-01
INV4143,C1083,S2083,99,paid,2026-05-09
INV4144,C1083,S2083,99,paid,2026-05-14
INV4145,C1084,S2084,499,paid,2026-09-20
INV4146,C1084,S2084,499,unpaid,2026-10-24
INV4147,C1085,S2085,499,paid,2026-10-10
INV4148,C1085,S2085,499,unpaid,2026-11-14
INV4149,C1085,S2085,499,paid,2026-12-14
INV4150,C1086,S2086,249,paid,2026-10-07
INV4151,C1086,S2086,249,unpaid,2026-11-09
INV4152,C1087,S2087,499,paid,2026-09-27
INV4153,C1087,S2087,499,paid,2026-10-28
INV4154,C1088,S2088,49,paid,2026-09-22
INV4155,C1089,S2089,49,paid,2026-10-06
INV4156,C1089,S2089,49,unpaid,2026-11-10
INV4157,C1090,S2090,99,paid,2026-10-05
INV4158,C1091,S2091,249,paid,2026-05-02
