payment_id,customer_id,subscription_id,amount,currency,status,payment_date
P3000,C1001,S2001,99,USD,successful,2026-09-19
P3001,C1002,S2002,49,USD,successful,2026-10-02
P3002,C1002,S2002,49,USD,successful,2026-11-06
P3003,C1003,S2003,49,USD,successful,2026-09-12
P3004,C1004,S2004,49,USD,successful,2026-09-30
P3005,C1004,S2004,49,USD,successful,2026-10-04
P3006,C1005,S2005,499,USD,failed,2026-09-08
P3007,C1006,S2006,249,USD,successful,2026-10-07
P3008,C1007,S2007,249,USD,successful,2026-09-19
P3009,C1007,S2007,249,USD,successful,2026-10-19
P3010,C1008,S2008,249,USD,successful,2026-09-21
P3011,C1008,S2008,249,USD,successful,2026-10-24
P3012,C1008,S2008,249,USD,successful,2026-11-23
P3013,C1009,S2009,49,USD,successful,2026-10-02
P3014,C1010,S2010,249,USD,successful,2026-09-07
P3015,C1010,S2010,249,USD,successful,2026-10-11
P3016,C1011,S2011,49,USD,successful,2026-10-12
P3017,C1012,S2012,249,USD,successful,2026-10-08
P3018,C1012,S2012,249,USD,successful,2026-11-12
P3019,C1013,S2013,99,USD,successful,2026-09-24
P3020,C1013,S2013,99,USD,successful,2026-09-25
P3021,C1014,S2014,249,USD,successful,2026-10-06
P3022,C1014,S2014,249,USD,successful,2026-10-08
P3023,C1015,S2015,499,USD,failed,2026-09-28
P3024,C1015,S2015,499,USD,successful,2026-10-29
P3025,C1016,S2016,99,USD,successful,2026-10-06
P3026,C1017,S2017,249,USD,successful,2026-09-08
P3027,C1017,S2017,249,USD,successful,2026-09-10
P3028,C1018,S2018,99,USD,failed,2026-09-21
P3029,C1019,S2019,249,USD,successful,2026-10-04
P3030,C1019,S2019,249,USD,successful,2026-11-05
P3031,C1020,S2020,49,USD,failed,2026-10-07
P3032,C1020,S2020,49,USD,successful,2026-11-06
P3033,C1021,S2021,499,USD,pending,2026-10-13
P3034,C1021,S2021,499,USD,successful,2026-11-13
P3035,C1021,S2021,499,USD,pending,2026-12-13
P3036,C1022,S2022,249,USD,successful,2026-09-13
P3037,C1022,S2022,249,USD,successful,2026-09-13
P3038,C1023,S2023,499,USD,successful,2026-10-01
P3039,C1023,S2023,499,USD,pending,2026-11-04
P3040,C1024,S2024,99,USD,successful,2026-09-23
P3041,C1024,S2024,99,USD,successful,2026-10-25
P3042,C1025,S2025,499,USD,successful,2026-09-13
P3043,C1025,S2025,499,USD,successful,2026-10-16
P3044,C1026,S2026,99,USD,failed,2026-10-10
P3045,C1026,S2026,99,USD,successful,2026-11-12
P3046,C1027,S2027,49,USD,successful,2026-10-14
P3047,C1027,S2027,49,USD,successful,2026-11-13
P3048,C1028,S2028,99,USD,successful,2026-10-07
P3049,C1029,S2029,499,USD,successful,2026-09-15
P3050,C1029,S2029,499,USD,successful,2026-09-20
P3051,C1030,S2030,249,USD,successful,2026-10-11
P3052,C1031,S2031,249,USD,successful,2026-09-29
P3053,C1031,S2031,249,USD,successful,2026-09-29
P3054,C1032,S2032,499,USD,successful,2026-09-26
P3055,C1033,S2033,249,USD,successful,2026-09-16
P3056,C1033,S2033,249,USD,successful,2026-10-19
P3057,C1034,S2034,49,USD,failed,2026-10-01
P3058,C1034,S2034,49,USD,successful,2026-10-02
P3059,C1035,S2035,99,USD,successful,2026-09-03
P3060,C1036,S2036,49,USD,successful,2026-09-24
P3061,C1036,S2036,49,USD,pending,2026-10-29
P3062,C1036,S2036,49,USD,successful,2026-11-28
P3063,C1037,S2037,49,USD,successful,2026-08-01
P3064,C1037,S2037,49,USD,failed,2026-09-04
P3065,C1038,S2038,99,USD,successful,2026-09-23
P3066,C1039,S2039,49,USD,successful,2026-10-10
P3067,C1040,S2040,99,USD,successful,2026-09-20
P3068,C1041,S2041,99,USD,successful,2026-09-24
P3069,C1042,S2042,499,USD,pending,2026-10-10
P3070,C1042,S2042,499,USD,successful,2026-11-13
P3071,C1042,S2042,499,USD,successful,2026-12-13
P3072,C1043,S2043,249,USD,successful,2026-09-22
P3073,C1043,S2043,249,USD,successful,2026-10-23
P3074,C1044,S2044,499,USD,successful,2026-09-20
P3075,C1045,S2045,49,USD,failed,2026-10-01
P3076,C1045,S2045,49,USD,successful,2026-11-02
P3077,C1046,S2046,99,USD,failed,2026-10-09
P3078,C1047,S2047,49,USD,successful,2026-09-16
P3079,C1047,S2047,49,USD,successful,2026-10-16
P3080,C1047,S2047,49,USD,successful,2026-11-15
P3081,C1048,S2048,49,USD,failed,2026-05-10
P3082,C1049,S2049,99,USD,successful,2026-10-10
P3083,C1049,S2049,99,USD,successful,2026-11-09
P3084,C1050,S2050,99,USD,successful,2026-10-05
P3085,C1050,S2050,99,USD,successful,2026-11-08
P3086,C1051,S2051,99,USD,successful,2026-09-28
P3087,C1051,S2051,99,USD,failed,2026-10-01
P3088,C1052,S2052,49,USD,successful,2026-09-14
P3089,C1052,S2052,49,USD,failed,2026-10-16
P3090,C1053,S2053,499,USD,successful,2026-10-07
P3091,C1053,S2053,499,USD,successful,2026-11-10
P3092,C1054,S2054,49,USD,successful,2026-09-27
P3093,C1054,S2054,49,USD,successful,2026-10-30
P3094,C1055,S2055,49,USD,successful,2026-09-14
P3095,C1056,S2056,499,USD,successful,2026-09-09
P3096,C1056,S2056,499,USD,successful,2026-10-14
P3097,C1057,S2057,249,USD,successful,2026-10-08
P3098,C1057,S2057,249,USD,failed,2026-11-12
P3099,C1058,S2058,499,USD,successful,2026-09-26
P3100,C1059,S2059,49,USD,successful,2026-09-25
P3101,C1060,S2060,499,USD,successful,2026-10-05
P3102,C1060,S2060,499,USD,successful,2026-11-09
P3103,C1061,S2061,499,USD,successful,2026-09-08
P3104,C1061,S2061,499,USD,successful,2026-10-13
P3105,C1061,S2061,499,USD,successful,2026-11-12
P3106,C1062,S2062,49,USD,successful,2026-09-15
P3107,C1062,S2062,49,USD,successful,2026-10-17
P3108,C1062,S2062,49,USD,failed,2026-11-16
P3109,C1063,S2063,249,USD,successful,2026-09-11
P3110,C1063,S2063,249,USD,successful,2026-09-13
P3111,C1064,S2064,99,USD,failed,2026-10-05
P3112,C1065,S2065,49,USD,successful,2026-10-12
P3113,C1065,S2065,49,USD,failed,2026-11-11
P3114,C1066,S2066,249,USD,successful,2026-09-16
P3115,C1067,S2067,499,USD,successful,2026-09-18
P3116,C1067,S2067,499,USD,successful,2026-10-22
P3117,C1068,S2068,49,USD,failed,2026-09-22
P3118,C1068,S2068,49,USD,successful,2026-09-27
P3119,C1069,S2069,49,USD,successful,2026-10-04
P3120,C1069,S2069,49,USD,successful,2026-11-07
P3121,C1069,S2069,49,USD,successful,2026-12-07
P3122,C1070,S2070,499,USD,successful,2026-09-19
P3123,C1070,S2070,499,USD,successful,2026-10-19
P3124,C1071,S2071,49,USD,successful,2026-10-03
P3125,C1071,S2071,49,USD,successful,2026-11-06
P3126,C1072,S2072,249,USD,successful,2026-09-08
P3127,C1073,S2073,99,USD,successful,2026-10-01
P3128,C1074,S2074,249,USD,successful,2026-09-23
P3129,C1074,S2074,249,USD,successful,2026-10-25
P3130,C1075,S2075,49,USD,pending,2026-08-15
P3131,C1076,S2076,49,USD,successful,2026-09-12
P3132,C1077,S2077,249,USD,failed,2026-09-27
P3133,C1077,S2077,249,USD,successful,2026-10-27
P3134,C1078,S2078,99,USD,successful,2026-09-16
P3135,C1078,S2078,99,USD,pending,2026-10-16
P3136,C1079,S2079,499,USD,successful,2026-05-23
P3137,C1079,S2079,499,USD,failed,2026-05-27
P3138,C1080,S2080,49,USD,successful,2026-09-03
P3139,C1080,S2080,49,USD,successful,2026-10-07
P3140,C1081,S2081,99,USD,successful,2026-10-08
P3141,C1081,S2081,99,USD,successful,2026-11-08
P3142,C1082,S2082,99,USD,successful,2026-10-01
P3143,C1083,S2083,99,USD,successful,2026-05-09
P3144,C1083,S2083,99,USD,successful,2026-05-14
P3145,C1084,S2084,499,USD,successful,2026-09-20
P3146,C1084,S2084,499,USD,failed,2026-10-24
P3147,C1085,S2085,499,USD,successful,2026-10-10
P3148,C1085,S2085,499,USD,pending,2026-11-14
P3149,C1085,S2085,499,USD,successful,2026-12-14
P3150,C1086,S2086,249,USD,successful,2026-10-07
P3151,C1086,S2086,249,USD,failed,2026-11-09
P3152,C1087,S2087,499,USD,successful,2026-09-27
P3153,C1087,S2087,499,USD,successful,2026-10-28
P3154,C1088,S2088,49,USD,successful,2026-09-22
P3155,C1089,S2089,49,USD,successful,2026-10-06
P3156,C1089,S2089,49,USD,failed,2026-11-10
P3157,C1090,S2090,99,USD,successful,2026-10-05
