subscription_id,customer_id,plan,monthly_price,status,start_date,renewal_date
S2001,C1001,Pro,99,active,2025-02-25,2026-09-24
S2002,C1002,Starter,49,active,2025-09-13,2026-10-07
S2003,C1003,Starter,49,past_due,2025-09-11,2026-09-14
S2004,C1004,Starter,49,active,2025-05-06,2026-10-04
S2005,C1005,Enterprise,499,past_due,2025-05-02,2026-09-13
S2006,C1006,Business,249,active,2025-06-24,2026-10-11
S2007,C1007,Business,249,active,2025-10-17,2026-09-19
S2008,C1008,Business,249,active,2025-10-07,2026-09-24
S2009,C1009,Starter,49,active,2025-07-01,2026-10-02
S2010,C1010,Business,249,suspended,2025-09-22,2026-09-11
S2011,C1011,Starter,49,active,2025-02-22,2026-10-15
S2012,C1012,Business,249,active,2025-06-22,2026-10-13
S2013,C1013,Pro,99,active,2025-05-17,2026-09-25
S2014,C1014,Business,249,active,2025-06-13,2026-10-08
S2015,C1015,Enterprise,499,active,2025-03-07,2026-09-29
S2016,C1016,Pro,99,active,2025-07-22,2026-10-09
S2017,C1017,Business,249,suspended,2025-10-19,2026-09-10
S2018,C1018,Pro,99,active,2025-01-10,2026-09-25
S2019,C1019,Business,249,active,2025-10-20,2026-10-06
S2020,C1020,Starter,49,active,2025-08-15,2026-10-07
S2021,C1021,Enterprise,499,active,2025-08-26,2026-10-14
S2022,C1022,Business,249,past_due,2025-12-06,2026-09-13
S2023,C1023,Enterprise,499,active,2025-11-21,2026-10-05
S2024,C1024,Pro,99,active,2025-04-22,2026-09-25
S2025,C1025,Enterprise,499,active,2025-04-05,2026-09-16
S2026,C1026,Pro,99,active,2025-08-20,2026-10-13
S2027,C1027,Starter,49,active,2025-08-14,2026-10-14
S2028,C1028,Pro,99,active,2025-04-23,2026-10-08
S2029,C1029,Enterprise,499,active,2025-07-08,2026-09-20
S2030,C1030,Business,249,active,2025-01-25,2026-10-13
S2031,C1031,Business,249,active,2025-02-25,2026-09-29
S2032,C1032,Enterprise,499,active,2025-12-17,2026-09-30
S2033,C1033,Business,249,active,2025-04-28,2026-09-19
S2034,C1034,Starter,49,active,2025-08-22,2026-10-02
S2035,C1035,Pro,99,past_due,2025-10-11,2026-09-07
S2036,C1036,Starter,49,active,2025-12-17,2026-09-29
S2037,C1037,Starter,49,cancelled,2025-09-15,2026-08-05
S2038,C1038,Pro,99,active,2025-08-15,2026-09-24
S2039,C1039,Starter,49,active,2025-11-09,2026-10-10
S2040,C1040,Pro,99,active,2025-08-21,2026-09-23
S2041,C1041,Pro,99,active,2025-02-23,2026-09-25
S2042,C1042,Enterprise,499,active,2025-06-11,2026-10-14
S2043,C1043,Business,249,active,2025-03-05,2026-09-23
S2044,C1044,Enterprise,499,active,2025-03-23,2026-09-22
S2045,C1045,Starter,49,active,2025-07-11,2026-10-03
S2046,C1046,Pro,99,active,2025-01-07,2026-10-12
S2047,C1047,Starter,49,active,2025-10-23,2026-09-16
S2048,C1048,Starter,49,cancelled,2025-10-13,2026-05-15
S2049,C1049,Pro,99,active,2025-06-10,2026-10-10
S2050,C1050,Pro,99,active,2025-07-18,2026-10-09
S2051,C1051,Pro,99,active,2025-10-08,2026-10-01
S2052,C1052,Starter,49,active,2025-07-16,2026-09-16
S2053,C1053,Enterprise,499,active,2025-11-22,2026-10-11
S2054,C1054,Starter,49,active,2025-03-27,2026-09-30
S2055,C1055,Starter,49,suspended,2025-10-18,2026-09-14
S2056,C1056,Enterprise,499,suspended,2025-10-19,2026-09-14
S2057,C1057,Business,249,active,2025-07-05,2026-10-13
S2058,C1058,Enterprise,499,active,2025-01-09,2026-09-28
S2059,C1059,Starter,49,active,2025-08-11,2026-09-26
S2060,C1060,Enterprise,499,active,2025-07-09,2026-10-10
S2061,C1061,Enterprise,499,past_due,2025-07-09,2026-09-13
S2062,C1062,Starter,49,active,2025-12-18,2026-09-17
S2063,C1063,Business,249,past_due,2025-06-08,2026-09-13
S2064,C1064,Pro,99,active,2025-11-02,2026-10-10
S2065,C1065,Starter,49,active,2025-04-07,2026-10-12
S2066,C1066,Business,249,active,2025-03-08,2026-09-20
S2067,C1067,Enterprise,499,active,2025-02-19,2026-09-22
S2068,C1068,Starter,49,active,2025-05-25,2026-09-27
S2069,C1069,Starter,49,active,2025-10-24,2026-10-08
S2070,C1070,Enterprise,499,active,2025-03-10,2026-09-19
S2071,C1071,Starter,49,active,2025-05-19,2026-10-07
S2072,C1072,Business,249,suspended,2025-07-13,2026-09-11
S2073,C1073,Pro,99,active,2025-12-27,2026-10-06
S2074,C1074,Business,249,active,2025-12-25,2026-09-25
S2075,C1075,Starter,49,cancelled,2025-10-26,2026-08-15
S2076,C1076,Starter,49,active,2025-10-26,2026-09-17
S2077,C1077,Business,249,active,2025-07-22,2026-09-27
S2078,C1078,Pro,99,active,2025-11-11,2026-09-16
S2079,C1079,Enterprise,499,cancelled,2025-08-04,2026-05-27
S2080,C1080,Starter,49,past_due,2025-11-27,2026-09-07
S2081,C1081,Pro,99,active,2025-07-06,2026-10-09
S2082,C1082,Pro,99,active,2025-11-09,2026-10-05
S2083,C1083,Pro,99,cancelled,2025-09-25,2026-05-14
S2084,C1084,Enterprise,499,active,2025-12-19,2026-09-24
S2085,C1085,Enterprise,499,active,2025-04-27,2026-10-15
S2086,C1086,Business,249,active,2025-08-08,2026-10-10
S2087,C1087,Enterprise,499,active,2025-10-22,2026-09-28
S2088,C1088,Starter,49,active,2025-08-28,2026-09-26
S2089,C1089,Starter,49,active,2025-04-12,2026-10-11
S2090,C1090,Pro,99,active,2025-05-20,2026-10-08
S2091,C1091,Business,249,cancelled,2025-09-01,2026-05-05
S2092,C1092,Pro,99,suspended,2025-02-08,2026-09-08
S2093,C1093,Enterprise,499,active,2025-04-23,2026-10-01
S2094,C1094,Pro,99,active,2025-08-15,2026-10-11
S2095,C1095,Pro,99,active,2025-05-08,2026-09-28
S2096,C1096,Business,249,active,2025-05-22,2026-10-04
S2097,C1097,Starter,49,active,2025-09-17,2026-09-27
S2098,C1098,Enterprise,499,active,2025-12-18,2026-09-26
S2099,C1099,Pro,99,active,2025-08-09,2026-09-25
S2100,C1100,Business,249,active,2025-02-24,2026-09-22
